epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7309,1.59071,3.50393,1.64326,0.50677,0.65362,0.54805,0.27427,1.42829,3.39598,1.52238,0.000649573,0.000649573,0.000649573
2,27.7831,1.5333,1.67596,1.61774,0.56357,0.47348,0.40627,0.21021,1.95069,4.85523,2.63677,0.00130321,0.00130321,0.00130321
3,40.1841,1.64259,1.55937,1.69125,0.16297,0.25072,0.11998,0.05267,2.2119,9.16092,2.90241,0.00194364,0.00194364,0.00194364
4,53.1617,1.63471,1.51123,1.66129,0.36528,0.31449,0.27939,0.11753,1.79798,9.77095,1.91929,0.0019406,0.0019406,0.0019406
5,65.5365,1.56189,1.43101,1.61025,0.41447,0.60145,0.36014,0.16445,1.74102,2.97182,2.03867,0.0019208,0.0019208,0.0019208
6,78.1767,1.49106,1.30069,1.58586,0.2652,0.54783,0.26819,0.14035,1.71759,3.06673,1.88107,0.001901,0.001901,0.001901
7,90.4685,1.48329,1.30527,1.5623,0.74894,0.52609,0.61443,0.33495,1.57579,2.65117,1.71558,0.0018812,0.0018812,0.0018812
8,103.1,1.47695,1.2987,1.53926,0.6736,0.58621,0.6546,0.36898,1.49283,2.5874,1.62702,0.0018614,0.0018614,0.0018614
9,115.554,1.45842,1.22067,1.53405,0.74864,0.56812,0.68141,0.37944,1.48386,2.43823,1.59164,0.0018416,0.0018416,0.0018416
10,127.461,1.46341,1.22322,1.53025,0.65022,0.5927,0.66522,0.3752,1.56063,1.48386,1.70455,0.0018218,0.0018218,0.0018218
11,139.997,1.45032,1.17361,1.50296,0.86807,0.78841,0.88,0.51462,1.40472,1.58677,1.50089,0.001802,0.001802,0.001802
12,152.433,1.41762,1.12717,1.49314,0.82623,0.76491,0.86254,0.51754,1.3587,1.00971,1.48444,0.0017822,0.0017822,0.0017822
13,165.054,1.38758,1.08241,1.4704,0.8549,0.85362,0.91091,0.5725,1.261,0.93504,1.40983,0.0017624,0.0017624,0.0017624
14,177.009,1.38232,1.05757,1.43881,0.8626,0.84619,0.91348,0.57443,1.2066,1.12673,1.35803,0.0017426,0.0017426,0.0017426
15,189.333,1.37918,1.05061,1.44712,0.88982,0.85444,0.9222,0.58578,1.25914,0.78902,1.38693,0.0017228,0.0017228,0.0017228
16,201.77,1.29027,0.94284,1.38746,0.88377,0.85955,0.91706,0.57754,1.29083,0.8524,1.38273,0.001703,0.001703,0.001703
17,214.144,1.31848,0.9531,1.4047,0.86333,0.81884,0.90938,0.58558,1.18274,0.92956,1.34291,0.0016832,0.0016832,0.0016832
18,226.574,1.29001,0.92178,1.39168,0.84854,0.90129,0.93393,0.61815,1.15268,0.81723,1.30333,0.0016634,0.0016634,0.0016634
19,238.956,1.2932,0.96183,1.39792,0.90036,0.82464,0.93077,0.596,1.24354,0.80777,1.39545,0.0016436,0.0016436,0.0016436
20,251.349,1.26362,0.91241,1.38368,0.88968,0.91165,0.95432,0.64628,1.1322,0.69071,1.28529,0.0016238,0.0016238,0.0016238
21,264.055,1.237,0.88148,1.33631,0.92083,0.91304,0.96184,0.6428,1.12859,0.66682,1.28643,0.001604,0.001604,0.001604
22,276.577,1.27211,0.91523,1.3621,0.93783,0.93913,0.97206,0.64963,1.14544,0.6593,1.31162,0.0015842,0.0015842,0.0015842
23,289.269,1.23717,0.86282,1.35194,0.92256,0.89786,0.95893,0.65824,1.10113,0.66854,1.28479,0.0015644,0.0015644,0.0015644
24,301.7,1.22922,0.8741,1.35702,0.90875,0.82319,0.91683,0.61339,1.14557,0.77835,1.3151,0.0015446,0.0015446,0.0015446
25,314.068,1.21345,0.83135,1.34055,0.90803,0.93003,0.97144,0.68359,1.06008,0.61911,1.23866,0.0015248,0.0015248,0.0015248
26,326.817,1.2341,0.83938,1.34939,0.93524,0.94178,0.97776,0.68289,1.06206,0.6015,1.24452,0.001505,0.001505,0.001505
27,339.43,1.2488,0.82919,1.34351,0.94146,0.92609,0.97331,0.6742,1.06743,0.62322,1.23997,0.0014852,0.0014852,0.0014852
28,351.679,1.13867,0.79488,1.27763,0.95282,0.90733,0.96184,0.63636,1.15499,0.69562,1.30612,0.0014654,0.0014654,0.0014654
29,364.08,1.17937,0.78402,1.3153,0.96075,0.94058,0.97822,0.68618,1.06063,0.57474,1.24688,0.0014456,0.0014456,0.0014456
30,376.621,1.21523,0.79014,1.34014,0.93187,0.91189,0.96785,0.67957,1.01696,0.59519,1.22143,0.0014258,0.0014258,0.0014258
31,389.171,1.13896,0.74167,1.28311,0.94452,0.94928,0.98149,0.70229,1.02951,0.58275,1.2069,0.001406,0.001406,0.001406
32,401.758,1.18475,0.77975,1.32869,0.94098,0.95797,0.98192,0.70366,1.02823,0.56814,1.21875,0.0013862,0.0013862,0.0013862
33,415.223,1.13669,0.78924,1.28751,0.95657,0.95772,0.98608,0.71154,0.9992,0.56007,1.20493,0.0013664,0.0013664,0.0013664
34,427.949,1.08823,0.72962,1.2695,0.96819,0.97101,0.98992,0.72493,0.96493,0.50677,1.16787,0.0013466,0.0013466,0.0013466
35,441.037,1.12109,0.7366,1.29258,0.9724,0.96957,0.99059,0.71721,0.97017,0.52717,1.17684,0.0013268,0.0013268,0.0013268
36,453.321,1.10096,0.73654,1.26283,0.97027,0.96087,0.98979,0.7233,0.95489,0.52563,1.1609,0.001307,0.001307,0.001307
37,465.737,1.10013,0.72224,1.27162,0.96488,0.95548,0.98689,0.72473,0.9316,0.52001,1.15053,0.0012872,0.0012872,0.0012872
38,478.306,1.07731,0.69484,1.25206,0.96902,0.94348,0.98601,0.7096,0.98361,0.53138,1.16592,0.0012674,0.0012674,0.0012674
39,490.945,1.09515,0.71193,1.25524,0.94103,0.97101,0.98575,0.71671,0.96786,0.52567,1.16916,0.0012476,0.0012476,0.0012476
40,503.404,1.08986,0.71298,1.25091,0.96672,0.96814,0.98956,0.73768,0.95042,0.50725,1.15753,0.0012278,0.0012278,0.0012278
41,516.006,1.07374,0.69275,1.24578,0.97474,0.9509,0.98743,0.74214,0.92141,0.49844,1.14528,0.001208,0.001208,0.001208
42,529.098,1.10405,0.72551,1.2613,0.96541,0.97087,0.99068,0.73663,0.91875,0.51478,1.13304,0.0011882,0.0011882,0.0011882
43,541.911,1.10412,0.70301,1.2554,0.96918,0.95716,0.99038,0.73337,0.92242,0.53209,1.14172,0.0011684,0.0011684,0.0011684
44,554.464,1.07197,0.69454,1.25042,0.95513,0.97246,0.98472,0.74539,0.90811,0.48768,1.12854,0.0011486,0.0011486,0.0011486
45,567.175,1.02876,0.64914,1.21982,0.98544,0.98092,0.99273,0.75602,0.91433,0.45772,1.11748,0.0011288,0.0011288,0.0011288
46,580.218,1.0711,0.69834,1.23598,0.98011,0.97246,0.99134,0.74257,0.91078,0.46925,1.12453,0.001109,0.001109,0.001109
47,592.968,1.01279,0.6549,1.20153,0.98686,0.97926,0.99399,0.75878,0.87607,0.44263,1.10502,0.0010892,0.0010892,0.0010892
48,605.704,1.00062,0.61998,1.2014,0.97424,0.97681,0.99176,0.75522,0.87743,0.46377,1.10126,0.0010694,0.0010694,0.0010694
49,618.359,0.98419,0.62061,1.1956,0.98211,0.98551,0.99344,0.76438,0.86386,0.44939,1.09052,0.0010496,0.0010496,0.0010496
50,631.444,0.99385,0.61249,1.19622,0.98391,0.97508,0.99274,0.75334,0.8812,0.44633,1.10584,0.0010298,0.0010298,0.0010298
51,644.168,0.98764,0.62471,1.19659,0.98367,0.98986,0.99403,0.77479,0.82087,0.41996,1.07794,0.00101,0.00101,0.00101
52,656.796,0.98624,0.6171,1.18422,0.9882,0.98116,0.99409,0.77369,0.84056,0.42374,1.0799,0.0009902,0.0009902,0.0009902
53,669.038,0.97883,0.6186,1.184,0.98268,0.98695,0.99347,0.77007,0.8363,0.4393,1.07269,0.0009704,0.0009704,0.0009704
54,681.104,0.96202,0.57731,1.17451,0.99126,0.98841,0.9944,0.77663,0.82259,0.4196,1.06544,0.0009506,0.0009506,0.0009506
55,693.699,0.97701,0.59369,1.19284,0.98021,0.98986,0.99388,0.78629,0.81666,0.40827,1.06133,0.0009308,0.0009308,0.0009308
56,705.874,0.98119,0.59758,1.18989,0.98699,0.98916,0.99469,0.78357,0.81005,0.40775,1.06442,0.000911,0.000911,0.000911
57,718.037,0.91898,0.55237,1.13712,0.98459,0.98986,0.99457,0.79761,0.77952,0.38891,1.04163,0.0008912,0.0008912,0.0008912
58,730.378,0.93007,0.56678,1.14952,0.98705,0.994,0.99478,0.79102,0.79205,0.39062,1.05136,0.0008714,0.0008714,0.0008714
59,742.573,0.9016,0.54807,1.13803,0.98696,0.9971,0.99484,0.8015,0.75647,0.38303,1.03738,0.0008516,0.0008516,0.0008516
60,754.932,0.92013,0.55692,1.16273,0.9927,0.986,0.9945,0.79913,0.76979,0.38662,1.04652,0.0008318,0.0008318,0.0008318
61,767.602,0.89246,0.54698,1.14392,0.98989,0.99355,0.99356,0.8038,0.75497,0.38426,1.03655,0.000812,0.000812,0.000812
62,780.316,0.87807,0.5497,1.12236,0.98561,0.99278,0.99428,0.79564,0.76356,0.38903,1.03624,0.0007922,0.0007922,0.0007922
63,793.194,0.90681,0.56112,1.15913,0.99656,0.98841,0.99488,0.80716,0.72018,0.37449,1.01243,0.0007724,0.0007724,0.0007724
64,807.068,0.88993,0.56106,1.14,0.9862,0.9942,0.99412,0.80944,0.72247,0.37976,1.01023,0.0007526,0.0007526,0.0007526
65,819.66,0.90369,0.54803,1.13777,0.98986,0.99081,0.99414,0.80988,0.74142,0.37772,1.0279,0.0007328,0.0007328,0.0007328
66,832.166,0.86629,0.52418,1.11829,0.99276,0.99328,0.99447,0.82109,0.71571,0.36378,1.01621,0.000713,0.000713,0.000713
67,844.74,0.85695,0.52212,1.11783,0.99131,0.99231,0.99439,0.81777,0.71077,0.36136,1.00688,0.0006932,0.0006932,0.0006932
68,857.7,0.85356,0.51116,1.10855,0.99417,0.98913,0.99475,0.8123,0.7116,0.36029,1.00916,0.0006734,0.0006734,0.0006734
